County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Harris (Houston),2023,65+ (Retirement),36797,37.2,21.8,8037,28760,30.5,39.1
Tarrant (Fort Worth),2012,18-24 (College / Entry),56760,55.5,100.0,56760,0,55.5,
Tarrant (Fort Worth),2013,18-24 (College / Entry),59864,58.8,100.0,59864,0,58.8,
Tarrant (Fort Worth),2014,18-24 (College / Entry),64962,55.7,100.0,64962,0,55.7,
Tarrant (Fort Worth),2015,18-24 (College / Entry),49639,63.8,100.0,49639,0,63.8,
Tarrant (Fort Worth),2016,18-24 (College / Entry),53738,55.8,100.0,53738,0,55.8,
Tarrant (Fort Worth),2017,18-24 (College / Entry),49160,56.0,100.0,49160,0,56.0,
Tarrant (Fort Worth),2018,18-24 (College / Entry),48915,55.8,100.0,48915,0,55.8,
Tarrant (Fort Worth),2019,18-24 (College / Entry),45439,51.1,100.0,45439,0,51.1,
Tarrant (Fort Worth),2021,18-24 (College / Entry),42921,52.7,26.0,11178,31743,52.2,52.9
Tarrant (Fort Worth),2022,18-24 (College / Entry),47348,49.5,21.6,10216,37132,47.1,50.1
Tarrant (Fort Worth),2023,18-24 (College / Entry),50825,50.5,30.5,15518,35307,55.0,48.5
Tarrant (Fort Worth),2012,25-30 (Young Adults),54291,50.8,100.0,54291,0,50.8,
Tarrant (Fort Worth),2013,25-30 (Young Adults),50927,56.8,100.0,50927,0,56.8,
Tarrant (Fort Worth),2014,25-30 (Young Adults),52159,50.1,100.0,52159,0,50.1,
Tarrant (Fort Worth),2015,25-30 (Young Adults),55996,48.4,100.0,55996,0,48.4,
Tarrant (Fort Worth),2016,25-30 (Young Adults),56821,47.7,100.0,56821,0,47.7,
Tarrant (Fort Worth),2017,25-30 (Young Adults),53423,47.8,100.0,53423,0,47.8,
Tarrant (Fort Worth),2018,25-30 (Young Adults),52499,51.5,100.0,52499,0,51.5,
